Rank,Team Conference,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Luck,Luck_Rank,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS_AdjEM_Rank,Year
160,Texas A&M Corpus,Chris,Slnd,20-14,+0.29,106.0,194,105.7,152,67.4,172,-.028,261,-3.68,260,104.2,288,107.9,197,+3.87,71
161,Montana,BSky,25-9,+0.27,110.8,98,110.5,252,67.1,193,+.186,1,-2.32,203,106.4,178,108.8,239,+8.57,28
162,Virginia Tech,ACC,13-19,+0.21,106.5,181,106.3,164,65.1,293,+.030,102,+7.02,74,110.9,73,103.9,83,-1.18,214
163,Purdue Fort,Wayne,Horz,19-13,+0.02,109.1,130,109.1,224,69.8,58,-.015,220,-3.51,257,105.3,243,108.8,243,+0.76,143
164,164,Winthrop,BSth,23-11,+0.00,108.4,144,108.4,209,72.7,6,+.078,32,-3.75,263,105.9,207,109.7,309,-3.52,279
165,165,Lamar,Slnd,20-13,-0.09,102.1,254,102.2,89,65.4,282,+.047,72,-1.68,180,105.5,229,107.2,166,+4.17,66
166,166,Marshall,SB,20-13,-0.26,106.4,184,106.7,173,68.7,101,+.002,172,-4.04,273,105.5,233,109.5,297,-4.29,302
167,Cleveland St.,Horz,21-12,-0.26,103.8,226,104.1,115,65.3,288,+.032,95,-4.23,278,104.9,263,109.1,269,+0.16,164
168,Appalachian St.,SB,17-14,-0.37,101.2,275,101.6,77,63.2,351,-.028,262,-3.02,234,106.2,193,109.2,275,+3.21,88
169,San Jose,St.,MWC,15-19,-0.41,107.2,169,107.6,193,66.4,227,+.009,155,+4.45,94,108.6,98,104.1,88,-3.43,277
170,Cal Baptist,WAC,17-15,-0.43,105.7,202,106.2,157,65.7,271,-.013,216,-1.86,186,103.7,295,105.6,118,-0.17,179
171,171,Temple,Amer,17-15,-0.56,110.0,109,110.6,253,68.7,102,+.017,134,-0.16,156,106.6,165,106.8,151,-2.03,235
172,172,Nicholls,Slnd,20-13,-0.71,105.7,203,106.4,167,68.2,127,+.054,61,-1.77,182,104.5,279,106.3,140,+8.17,31
